work_order_id,asset_id,asset_type,asset_location,work_order_type,priority,created_date,completed_date,technician_id,labor_hours,parts_used,total_cost,failure_mode,root_cause,technician_notes,equipment_age_months,last_maintenance_days,downtime_hours,temperature_reading,vibration_level,pressure_reading,oil_condition,next_maintenance_due
WO-2024-087,MOTOR-025,Servo Motor,Production Line 2,Preventive,Low,11/5/2023,11/5/2023,TECH-002,2,"{""oil"": 1}",205.25,None,Scheduled maintenance,Preventive service performed. Temperature readings consistently elevated above normal baseline. Recommend increased monitoring frequency.,21,34,0.7,77.8,4.1,NULL,3,2/5/2024
WO-2024-088,VALVE-008,Control Valve,Process Room A,Emergency,Critical,11/8/2023,11/8/2023,TECH-003,8.4,"{""seal"": 3, ""gasket"": 2}",1045.9,Seal Leak,Operating stress,Addressed seal leak. Replaced worn components. System restored to normal operation.,42,34,3.5,NULL,5.8,NULL,2,2/8/2024
WO-2024-089,HEAT-001,Heat Exchanger,Building B - Basement,Corrective,Medium,11/12/2023,11/12/2023,TECH-004,4.5,"{""gasket"": 2, ""tube"": 1}",466.75,Thermal Stress,Environmental conditions,Addressed thermal stress. Replaced worn components. System restored to normal operation.,74,35,2.1,73.1,3.7,NULL,3,2/12/2024
WO-2024-090,TURB-004,Turbine,Power Generation Unit,Preventive,Medium,11/15/2023,11/15/2023,TECH-005,2.7,"{""oil"": 2, ""filter"": 1}",299.75,None,Scheduled maintenance,Scheduled inspection completed. Minor adjustments made. System operating normally.,87,34,0.9,NULL,2.8,NULL,4,2/15/2024
WO-2024-091,PUMP-001,Centrifugal Pump,Building A - Floor 1,Emergency,Critical,11/18/2023,11/18/2023,TECH-001,8.7,"{""bearing"": 3, ""seal"": 2}",1218.95,Cavitation,Operating stress,Addressed cavitation. Replaced worn components. System restored to normal operation.,39,34,3.8,78.4,6.1,136.7,2,2/18/2024
WO-2024-092,MOTOR-012,Electric Motor,Building B - Floor 2,Corrective,High,11/22/2023,11/22/2023,TECH-002,5.6,"{""bearing"": 2, ""oil"": 1}",643.05,Shaft Misalignment,Normal wear and tear,Addressed shaft misalignment. Replaced worn components. System restored to normal operation.,25,35,2.6,68.7,4.5,NULL,3,2/22/2024
WO-2024-093,CONV-005,Belt Conveyor,Warehouse - Zone C,Preventive,Low,11/25/2023,11/25/2023,TECH-003,1.8,"{""oil"": 1}",188.25,None,Scheduled maintenance,Routine maintenance completed successfully. All parameters within normal range.,11,34,0.6,NULL,2.3,NULL,5,2/25/2024
WO-2024-094,COMP-002,Air Compressor,Utility Room - East,Corrective,Medium,11/28/2023,11/28/2023,TECH-004,4.2,"{""valve"": 1, ""bearing"": 1}",502.7,Pressure Loss,Environmental conditions,Addressed pressure loss. Replaced worn components. System restored to normal operation.,48,34,1.9,NULL,3.4,158.1,3,2/28/2024
WO-2024-095,FAN-003,Exhaust Fan,Building A - Roof,Emergency,Critical,12/2/2023,12/2/2023,TECH-005,7.8,"{""bearing"": 3, ""belt"": 1}",946.3,Motor Issues,Operating stress,Addressed motor issues. Replaced worn components. System restored to normal operation.,30,35,3.4,NULL,5.9,NULL,2,3/2/2024
WO-2024-096,PUMP-007,Gear Pump,Building C - Floor 3,Corrective,High,12/5/2023,12/5/2023,TECH-001,7.1,"{""seal"": 3, ""bearing"": 2}",728.85,Seal Failure,Progressive wear,Addressed seal failure. Multiple seal failures indicating system stress. Bearing temperatures elevated. Oil contamination levels increasing. Recommend urgent assessment for replacement planning.,56,34,3.2,81.2,7.8,159.6,1,3/5/2024
WO-2024-097,MOTOR-025,Servo Motor,Production Line 2,Corrective,High,12/8/2023,12/8/2023,TECH-002,6.4,"{""bearing"": 2, ""oil"": 1}",704.4,Position Error,Age-related degradation,Addressed position error. Frequent recalibration required. Performance degrading consistently. Multiple minor faults occurring. System showing signs of impending major failure.,21,33,2.9,81.7,6.8,NULL,2,3/8/2024
WO-2024-098,VALVE-008,Control Valve,Process Room A,Preventive,Medium,12/12/2023,12/12/2023,TECH-003,2.3,"{""oil"": 1, ""gasket"": 1}",246.25,None,Scheduled maintenance,"Regular maintenance cycle completed. Oil changed, filters replaced. Good condition overall.",42,34,0.8,NULL,2.4,NULL,4,3/12/2024
WO-2024-099,HEAT-001,Heat Exchanger,Building B - Basement,Corrective,High,12/15/2023,12/15/2023,TECH-004,5.9,"{""gasket"": 2, ""tube"": 1}",587.65,Tube Leak,Environmental conditions,Addressed tube leak. Replaced worn components. System restored to normal operation.,74,33,2.7,74.2,4.1,NULL,3,3/15/2024
WO-2024-100,TURB-004,Turbine,Power Generation Unit,Emergency,Critical,12/18/2023,12/18/2023,TECH-005,9.3,"{""bearing"": 3, ""oil"": 2}",1162.05,Control Problems,Operating stress,Addressed control problems. Replaced worn components. System restored to normal operation.,87,33,4,NULL,6.3,NULL,2,3/18/2024
WO-2024-101,PUMP-001,Centrifugal Pump,Building A - Floor 1,Preventive,Low,12/22/2023,12/22/2023,TECH-001,1.9,"{""oil"": 1, ""filter"": 1}",225.25,None,Scheduled maintenance,Routine maintenance completed successfully. All parameters within normal range.,40,34,0.6,73.8,2.6,141.4,4,3/22/2024
WO-2024-102,MOTOR-012,Electric Motor,Building B - Floor 2,Corrective,Medium,12/25/2023,12/25/2023,TECH-002,3.8,"{""bearing"": 1, ""oil"": 1}",484.05,Bearing Wear,Normal wear and tear,Addressed bearing wear. Replaced worn components. System restored to normal operation.,26,35,1.6,67.2,3.4,NULL,4,3/25/2024
WO-2024-103,CONV-005,Belt Conveyor,Warehouse - Zone C,Emergency,Critical,12/28/2023,12/28/2023,TECH-003,8.2,"{""belt"": 1, ""bearing"": 3}",1091.7,Roller Seizure,Operating stress,Addressed roller seizure. Replaced worn components. System restored to normal operation.,11,33,3.6,NULL,5.4,NULL,2,3/28/2024
WO-2024-104,COMP-002,Air Compressor,Utility Room - East,Preventive,Medium,1/2/2024,1/2/2024,TECH-004,2.2,"{""oil"": 1, ""valve"": 1}",546.75,None,Scheduled maintenance,Preventive service performed. No issues detected. Equipment running smoothly.,48,35,0.8,NULL,2.5,160.8,4,4/2/2024
WO-2024-105,FAN-003,Exhaust Fan,Building A - Roof,Corrective,High,1/5/2024,1/5/2024,TECH-005,5.1,"{""bearing"": 2, ""belt"": 1}",713.85,Motor Issues,Environmental conditions,Addressed motor issues. Replaced worn components. System restored to normal operation.,31,34,2.4,NULL,4.3,NULL,3,4/5/2024
WO-2024-106,PUMP-007,Gear Pump,Building C - Floor 3,Emergency,Critical,1/8/2024,1/9/2024,TECH-001,10.2,"{""gear"": 1, ""bearing"": 3, ""seal"": 2}",1456.7,Gear Wear,Progressive wear,Emergency repair required. Gear teeth severely worn with visible chipping. Multiple bearing failures. Oil completely contaminated with metal debris. System vibration at critical levels. Strongly recommend replacement planning within 30 days.,57,34,6.2,83.7,8.9,156.2,1,4/8/2024
WO-2024-107,MOTOR-025,Servo Motor,Production Line 2,Corrective,High,1/12/2024,1/12/2024,TECH-002,6.8,"{""bearing"": 2, ""oil"": 2, ""sensor"": 1}",743.8,Drive Issues,Age-related degradation,Addressed drive issues. Temperature consistently above 80°F. Multiple sensor recalibrations required. Performance down 20% from baseline. Frequent position errors. Critical failure expected within 60 days without major intervention.,22,35,3.1,83.4,7.2,NULL,2,4/12/2024
WO-2024-108,VALVE-008,Control Valve,Process Room A,Preventive,Low,1/15/2024,1/15/2024,TECH-003,1.8,"{""oil"": 1}",188.25,None,Scheduled maintenance,Preventive service performed. No issues detected. Equipment running smoothly.,43,34,0.6,NULL,2,NULL,5,4/15/2024
WO-2024-109,HEAT-001,Heat Exchanger,Building B - Basement,Corrective,Medium,1/18/2024,1/18/2024,TECH-004,4.6,"{""gasket"": 2, ""seal"": 1}",459.6,Fouling,Environmental conditions,Addressed fouling. Replaced worn components. System restored to normal operation.,75,34,2.1,72.5,3.6,NULL,3,4/18/2024
WO-2024-110,TURB-004,Turbine,Power Generation Unit,Preventive,Medium,1/22/2024,1/22/2024,TECH-005,2.8,"{""oil"": 2, ""filter"": 1}",308.75,None,Scheduled maintenance,Scheduled inspection completed. Minor adjustments made. System operating normally.,88,35,0.9,NULL,2.7,NULL,4,4/22/2024
WO-2024-111,PUMP-001,Centrifugal Pump,Building A - Floor 1,Corrective,High,1/25/2024,1/25/2024,TECH-001,5.7,"{""impeller"": 1, ""seal"": 1}",509.95,Vibration,Operating stress,Addressed vibration. Replaced worn components. System restored to normal operation.,40,34,2.7,76.1,4.2,138.9,3,4/25/2024
WO-2024-112,MOTOR-012,Electric Motor,Building B - Floor 2,Preventive,Low,1/28/2024,1/28/2024,TECH-002,1.7,"{""oil"": 1}",179.75,None,Scheduled maintenance,Preventive maintenance performed as scheduled. All checks passed. No concerns noted.,26,34,0.5,65.9,2,NULL,5,4/28/2024
WO-2024-113,CONV-005,Belt Conveyor,Warehouse - Zone C,Corrective,Medium,2/1/2024,2/1/2024,TECH-003,4.2,"{""bearing"": 2, ""oil"": 1}",390.7,Bearing Failure,Normal wear and tear,Addressed bearing failure. Replaced worn components. System restored to normal operation.,11,35,1.9,NULL,3.8,NULL,3,5/1/2024
WO-2024-114,COMP-002,Air Compressor,Utility Room - East,Emergency,Critical,2/5/2024,2/5/2024,TECH-004,9.4,"{""valve"": 2, ""bearing"": 2}",1328.9,Valve Failure,Operating stress,Addressed valve failure. Replaced worn components. System restored to normal operation.,49,34,4.1,NULL,6,0,1,5/5/2024
WO-2024-115,FAN-003,Exhaust Fan,Building A - Roof,Preventive,Medium,2/8/2024,2/8/2024,TECH-005,2.4,"{""oil"": 1, ""bearing"": 1}",330,None,Scheduled maintenance,"Regular maintenance cycle completed. Oil changed, filters replaced. Good condition overall.",31,34,0.8,NULL,2.3,NULL,4,5/8/2024
WO-2024-116,PUMP-007,Gear Pump,Building C - Floor 3,Corrective,Critical,2/12/2024,2/13/2024,TECH-001,12.5,"{""gear"": 2, ""bearing"": 4, ""seal"": 3}",2147.5,Seal Failure,Progressive wear,Critical failure event. Complete gear replacement required. All bearings seized. Multiple seal catastrophic failures. Oil system completely compromised. Emergency shutdown initiated. Production impact severe. Immediate replacement recommended - continued operation unsafe.,57,35,8.7,87.2,9.8,151.4,1,5/12/2024
WO-2024-117,MOTOR-025,Servo Motor,Production Line 2,Emergency,Critical,2/15/2024,2/16/2024,TECH-002,11.8,"{""bearing"": 3, ""oil"": 3, ""cable"": 1}",1689.3,Overheating,Age-related degradation,Emergency intervention required. Temperature exceeded 85°F threshold. Multiple bearing failures. Drive system unstable. Frequent shutdowns occurring. Performance degraded 35%. Asset approaching end-of-life. Replacement parts becoming unavailable.,22,34,7.4,87.8,8.6,NULL,1,5/15/2024
WO-2024-118,VALVE-008,Control Valve,Process Room A,Corrective,High,2/18/2024,2/18/2024,TECH-003,5.4,"{""seal"": 2, ""gasket"": 1}",522.4,Calibration Drift,Operating stress,Addressed calibration drift. Replaced worn components. System restored to normal operation.,43,34,2.4,NULL,4.1,NULL,3,5/18/2024
WO-2024-119,HEAT-001,Heat Exchanger,Building B - Basement,Preventive,Low,2/22/2024,2/22/2024,TECH-004,1.9,"{""oil"": 1}",196.75,None,Scheduled maintenance,Preventive maintenance performed as scheduled. All checks passed. No concerns noted.,75,35,0.6,70.1,1.8,NULL,5,5/22/2024
WO-2024-120,TURB-004,Turbine,Power Generation Unit,Corrective,Medium,2/25/2024,2/25/2024,TECH-005,4.8,"{""bearing"": 1, ""oil"": 1}",568.65,Oil System Issues,Normal wear and tear,Addressed oil system issues. Replaced worn components. System restored to normal operation.,88,34,2.2,NULL,3.9,NULL,3,5/25/2024
WO-2024-121,PUMP-001,Centrifugal Pump,Building A - Floor 1,Emergency,Critical,2/28/2024,2/28/2024,TECH-001,8.9,"{""bearing"": 3, ""seal"": 2}",1236.15,Bearing Failure,Insufficient lubrication,Addressed bearing failure. Replaced worn components. System restored to normal operation.,41,34,3.9,78.7,6,135.1,2,5/28/2024
WO-2024-122,MOTOR-012,Electric Motor,Building B - Floor 2,Corrective,High,3/4/2024,3/4/2024,TECH-002,5.9,"{""bearing"": 2, ""oil"": 1}",662.15,Insulation Breakdown,Environmental conditions,Addressed insulation breakdown. Replaced worn components. System restored to normal operation.,27,35,2.8,70.1,4.4,NULL,3,6/4/2024
WO-2024-123,CONV-005,Belt Conveyor,Warehouse - Zone C,Preventive,Low,3/7/2024,3/7/2024,TECH-003,2,"{""oil"": 1}",205.25,None,Scheduled maintenance,Routine maintenance completed successfully. All parameters within normal range.,12,35,0.7,NULL,2.2,NULL,5,6/7/2024
WO-2024-124,COMP-002,Air Compressor,Utility Room - East,Corrective,Medium,3/10/2024,3/10/2024,TECH-004,4.4,"{""valve"": 1, ""bearing"": 1}",522.2,Piston Wear,Normal wear and tear,Addressed piston wear. Replaced worn components. System restored to normal operation.,49,33,2,NULL,3.7,162.7,3,6/10/2024
WO-2024-125,FAN-003,Exhaust Fan,Building A - Roof,Emergency,Critical,3/14/2024,3/14/2024,TECH-005,7.6,"{""bearing"": 2, ""belt"": 1}",918.6,Vibration,Operating stress,Addressed vibration. Replaced worn components. System restored to normal operation.,32,34,3.3,NULL,5.7,NULL,2,6/14/2024
WO-2024-126,PUMP-007,Gear Pump,Building C - Floor 3,Emergency,Critical,3/17/2024,3/19/2024,TECH-001,16.4,"{""gear"": 2, ""bearing"": 5, ""seal"": 4, ""shaft"": 1}",3247.8,Gear Wear,Progressive wear,Catastrophic failure - complete system rebuild required. Gear box completely destroyed. Shaft cracked. All bearings seized. Oil system contaminated beyond recovery. 48-hour emergency repair. Asset beyond economic repair. Immediate replacement procurement initiated.,58,33,16.2,91.4,11.2,148.7,1,6/17/2024
WO-2024-127,MOTOR-025,Servo Motor,Production Line 2,Corrective,Critical,3/21/2024,3/22/2024,TECH-002,14.7,"{""bearing"": 4, ""oil"": 3, ""cable"": 2, ""sensor"": 2}",2456.95,Encoder Failure,Age-related degradation,Multiple system failures. Encoder completely failed. All bearings beyond service limits. Cable insulation breakdown. Temperature control lost. Asset operating in failure mode. Continuous monitoring required. Replacement parts no longer available from manufacturer.,23,34,12.3,89.7,9.4,NULL,1,6/21/2024
WO-2024-128,VALVE-008,Control Valve,Process Room A,Preventive,Medium,3/24/2024,3/24/2024,TECH-003,2.5,"{""oil"": 1, ""gasket"": 1}",254.75,None,Scheduled maintenance,"Regular maintenance cycle completed. Oil changed, filters replaced. Good condition overall.",44,34,0.9,NULL,2.5,NULL,4,6/24/2024
WO-2024-129,HEAT-001,Heat Exchanger,Building B - Basement,Corrective,Medium,3/27/2024,3/27/2024,TECH-004,4.7,"{""gasket"": 2, ""tube"": 1}",475.95,Thermal Stress,Environmental conditions,Addressed thermal stress. Replaced worn components. System restored to normal operation.,76,33,2.2,73.8,3.8,NULL,3,6/27/2024
WO-2024-130,TURB-004,Turbine,Power Generation Unit,Preventive,Medium,3/30/2024,3/30/2024,TECH-005,2.9,"{""oil"": 2, ""filter"": 1}",317.25,None,Scheduled maintenance,Scheduled inspection completed. Minor adjustments made. System operating normally.,89,33,1,NULL,2.9,NULL,4,6/30/2024
WO-2024-131,PUMP-001,Centrifugal Pump,Building A - Floor 1,Corrective,High,4/3/2024,4/3/2024,TECH-001,6.1,"{""bearing"": 2, ""impeller"": 1}",1051.85,Cavitation,Operating stress,Addressed cavitation. Replaced worn components. System restored to normal operation.,41,34,2.9,77.5,4.7,140.3,3,7/3/2024
WO-2024-132,MOTOR-012,Electric Motor,Building B - Floor 2,Emergency,Critical,4/6/2024,4/6/2024,TECH-002,9.3,"{""bearing"": 3, ""oil"": 2}",1213.05,Winding Failure,Operating stress,Addressed winding failure. Replaced worn components. System restored to normal operation.,27,33,4,81.3,6.1,NULL,2,7/6/2024
WO-2024-133,CONV-005,Belt Conveyor,Warehouse - Zone C,Corrective,Medium,4/9/2024,4/9/2024,TECH-003,4.3,"{""belt"": 1, ""bearing"": 2}",682.55,Alignment Issues,Environmental conditions,Addressed alignment issues. Replaced worn components. System restored to normal operation.,12,33,1.9,NULL,4,NULL,3,7/9/2024
WO-2024-134,COMP-002,Air Compressor,Utility Room - East,Preventive,Medium,4/12/2024,4/12/2024,TECH-004,2.3,"{""oil"": 1, ""filter"": 1}",254.75,None,Scheduled maintenance,"Regular maintenance cycle completed. Oil changed, filters replaced. Good condition overall.",50,33,0.8,NULL,2.6,157.9,4,7/12/2024
WO-2024-135,FAN-003,Exhaust Fan,Building A - Roof,Corrective,High,4/15/2024,4/15/2024,TECH-005,5.5,"{""bearing"": 2, ""belt"": 1}",752.25,Belt Wear,Normal wear and tear,Addressed belt wear. Replaced worn components. System restored to normal operation.,32,32,2.5,NULL,4.3,NULL,3,7/15/2024
WO-2024-136,PUMP-007,Gear Pump,Building C - Floor 3,Emergency,Critical,4/18/2024,4/20/2024,TECH-001,18.9,"{""gear"": 3, ""bearing"": 6, ""seal"": 5, ""shaft"": 1}",4127.65,Contamination,Progressive wear,Total system failure. Complete pump replacement required. All internal components destroyed. Metal contamination throughout system. Shaft fractured completely. Emergency procurement of replacement unit initiated. Asset condemned - beyond repair.,58,32,24.7,95.2,12.8,143.1,1,7/18/2024
WO-2024-137,MOTOR-025,Servo Motor,Production Line 2,Emergency,Critical,4/22/2024,4/24/2024,TECH-002,20.3,"{""motor"": 1, ""bearing"": 4, ""cable"": 3}",3456.55,Drive Issues,Age-related degradation,Complete motor replacement required. Multiple catastrophic failures. Drive system completely inoperable. Temperature sensors failed. Control system compromised. Emergency replacement motor installed. Original asset retired from service.,23,32,18.6,93.8,11.7,NULL,1,7/22/2024
WO-2024-138,VALVE-008,Control Valve,Process Room A,Emergency,Critical,4/25/2024,4/25/2024,TECH-003,8.6,"{""seal"": 3, ""gasket"": 2}",1063.1,Seal Leak,Operating stress,Addressed seal leak. Replaced worn components. System restored to normal operation.,44,32,3.6,NULL,5.9,NULL,2,7/25/2024
WO-2024-139,HEAT-001,Heat Exchanger,Building B - Basement,Preventive,Low,4/28/2024,4/28/2024,TECH-004,2,"{""oil"": 1}",205.25,None,Scheduled maintenance,Preventive maintenance performed as scheduled. All checks passed. No concerns noted.,76,32,0.7,69.8,1.9,NULL,5,7/28/2024
WO-2024-140,TURB-004,Turbine,Power Generation Unit,Corrective,Medium,5/1/2024,5/1/2024,TECH-005,4.9,"{""bearing"": 1, ""oil"": 1}",577.15,Oil System Issues,Normal wear and tear,Addressed oil system issues. Replaced worn components. System restored to normal operation.,89,32,2.3,NULL,4,NULL,3,8/1/2024
WO-2024-141,PUMP-001,Centrifugal Pump,Building A - Floor 1,Preventive,Low,5/5/2024,5/5/2024,TECH-001,2.1,"{""oil"": 1, ""filter"": 1}",234.25,None,Scheduled maintenance,Routine maintenance completed successfully. All parameters within normal range.,42,32,0.8,74.2,2.8,139.6,4,8/5/2024
WO-2024-142,MOTOR-012,Electric Motor,Building B - Floor 2,Corrective,High,5/8/2024,5/8/2024,TECH-002,6,"{""bearing"": 2, ""oil"": 1}",670.75,Shaft Misalignment,Normal wear and tear,Addressed shaft misalignment. Replaced worn components. System restored to normal operation.,28,32,2.9,69.3,4.6,NULL,3,8/8/2024
WO-2024-143,CONV-005,Belt Conveyor,Warehouse - Zone C,Preventive,Low,5/12/2024,5/12/2024,TECH-003,1.9,"{""oil"": 1}",196.75,None,Scheduled maintenance,Preventive service performed. No issues detected. Equipment running smoothly.,13,33,0.6,NULL,2.4,NULL,5,8/12/2024
WO-2024-144,COMP-002,Air Compressor,Utility Room - East,Corrective,Medium,5/15/2024,5/15/2024,TECH-004,4.5,"{""valve"": 1, ""bearing"": 1}",530.75,Pressure Loss,Environmental conditions,Addressed pressure loss. Replaced worn components. System restored to normal operation.,50,33,2.1,NULL,3.5,164.2,3,8/15/2024
WO-2024-145,FAN-003,Exhaust Fan,Building A - Roof,Emergency,Critical,5/18/2024,5/18/2024,TECH-005,8,"{""bearing"": 3, ""belt"": 1}",963,Motor Issues,Operating stress,Addressed motor issues. Replaced worn components. System restored to normal operation.,33,33,3.5,NULL,6,NULL,2,8/18/2024
WO-2024-146,PUMP-007,Gear Pump,Building C - Floor 3,Corrective,Critical,5/22/2024,5/22/2024,TECH-001,8.7,"{""seal"": 4, ""bearing"": 3}",1147.95,Seal Failure,Progressive wear,New pump installation maintenance. Final system checks on replacement unit. All parameters within specification. Original failed unit removed from service permanently.,58,34,4.2,74.1,3.2,168.7,5,8/22/2024
WO-2024-147,MOTOR-025,Servo Motor,Production Line 2,Preventive,Low,5/25/2024,5/25/2024,TECH-002,2.2,"{""oil"": 1, ""filter"": 1}",246.25,None,Scheduled maintenance,New motor installation maintenance. Initial preventive service on replacement unit. All systems operational within normal parameters.,1,7,0.8,64.2,1.8,NULL,5,8/25/2024
WO-2024-148,VALVE-008,Control Valve,Process Room A,Corrective,High,5/28/2024,5/28/2024,TECH-003,5.8,"{""seal"": 2, ""gasket"": 1}",566.3,Corrosion,Environmental conditions,Addressed corrosion. Replaced worn components. System restored to normal operation.,45,33,2.6,NULL,4.2,NULL,3,8/28/2024
WO-2024-149,HEAT-001,Heat Exchanger,Building B - Basement,Emergency,Critical,6/1/2024,6/1/2024,TECH-004,8.4,"{""gasket"": 3, ""tube"": 2}",1187.4,Tube Leak,Environmental conditions,Addressed tube leak. Replaced worn components. System restored to normal operation.,77,34,3.8,75.3,4.9,NULL,2,9/1/2024
WO-2024-150,TURB-004,Turbine,Power Generation Unit,Preventive,Medium,6/5/2024,6/5/2024,TECH-005,3,"{""oil"": 2, ""filter"": 1}",325.75,None,Scheduled maintenance,Scheduled inspection completed. Minor adjustments made. System operating normally.,90,35,1,NULL,3,NULL,4,9/5/2024
WO-2024-151,PUMP-001,Centrifugal Pump,Building A - Floor 1,Corrective,Medium,6/8/2024,6/8/2024,TECH-001,3.9,"{""bearing"": 1, ""oil"": 1}",492.15,Bearing Wear,Normal wear and tear,Addressed bearing wear. Replaced worn components. System restored to normal operation.,42,34,1.7,67.5,3.5,142.1,4,9/8/2024
WO-2024-152,MOTOR-012,Electric Motor,Building B - Floor 2,Preventive,Low,6/12/2024,6/12/2024,TECH-002,1.8,"{""oil"": 1}",188.25,None,Scheduled maintenance,Preventive maintenance performed as scheduled. All checks passed. No concerns noted.,28,35,0.6,66.4,2.1,NULL,5,9/12/2024
WO-2024-153,CONV-005,Belt Conveyor,Warehouse - Zone C,Emergency,Critical,6/15/2024,6/15/2024,TECH-003,8.4,"{""belt"": 1, ""bearing"": 3}",1108.4,Roller Seizure,Operating stress,Addressed roller seizure. Replaced worn components. System restored to normal operation.,13,33,3.7,NULL,5.6,NULL,2,9/15/2024
WO-2024-154,COMP-002,Air Compressor,Utility Room - East,Preventive,Medium,6/18/2024,6/18/2024,TECH-004,2.4,"{""oil"": 1, ""valve"": 1}",555.25,None,Scheduled maintenance,Preventive service performed. No issues detected. Equipment running smoothly.,50,34,0.9,NULL,2.7,166.4,4,9/18/2024
WO-2024-155,FAN-003,Exhaust Fan,Building A - Roof,Corrective,High,6/22/2024,6/22/2024,TECH-005,5.3,"{""bearing"": 2, ""belt"": 1}",731.05,Motor Issues,Environmental conditions,Addressed motor issues. Replaced worn components. System restored to normal operation.,33,35,2.5,NULL,4.4,NULL,3,9/22/2024
WO-2024-156,PUMP-007,Gear Pump,Building C - Floor 3,Preventive,Low,6/25/2024,6/25/2024,TECH-001,1.5,"{""oil"": 1}",162.75,None,Scheduled maintenance,New equipment performing excellently. All parameters optimal. No issues detected.,1,34,0.3,71.2,1.6,172.8,5,9/25/2024
WO-2024-157,MOTOR-025,Servo Motor,Production Line 2,Preventive,Low,6/28/2024,6/28/2024,TECH-002,1.3,"{""oil"": 1}",145.75,None,Scheduled maintenance,New motor running perfectly. All systems within specification. Excellent performance.,1,34,0.2,62.8,1.4,NULL,5,9/28/2024
WO-2024-158,VALVE-008,Control Valve,Process Room A,Corrective,Medium,7/2/2024,7/2/2024,TECH-003,4.3,"{""gasket"": 2, ""seal"": 1}",426.8,Sticking,Normal wear and tear,Addressed sticking. Replaced worn components. System restored to normal operation.,45,35,2,NULL,3.4,NULL,4,10/2/2024
WO-2024-159,HEAT-001,Heat Exchanger,Building B - Basement,Preventive,Medium,7/5/2024,7/5/2024,TECH-004,2.1,"{""oil"": 1, ""gasket"": 1}",246.25,None,Scheduled maintenance,"Regular maintenance cycle completed. Oil changed, filters replaced. Good condition overall.",77,34,0.8,70.5,2.5,NULL,4,10/5/2024
WO-2024-160,TURB-004,Turbine,Power Generation Unit,Corrective,High,7/8/2024,7/8/2024,TECH-005,5.7,"{""bearing"": 2, ""oil"": 1}",649.85,Vibration,Operating stress,Addressed vibration. Turbine showing increased wear patterns. Bearings replaced but recommend closer monitoring.,90,33,2.7,NULL,5.1,NULL,3,10/8/2024
WO-2024-161,PUMP-001,Centrifugal Pump,Building A - Floor 1,Emergency,Critical,7/12/2024,7/12/2024,TECH-001,9.1,"{""bearing"": 3, ""seal"": 2}",1264.35,Bearing Failure,Insufficient lubrication,Addressed bearing failure. Replaced worn components. System restored to normal operation.,43,34,4,79.2,6.1,138.4,2,10/12/2024
WO-2024-162,MOTOR-012,Electric Motor,Building B - Floor 2,Corrective,Medium,7/15/2024,7/15/2024,TECH-002,4.1,"{""bearing"": 1, ""oil"": 1}",499.35,Overheating,Environmental conditions,Addressed overheating. Motor temperature trending higher than previous months. Cooling system checked.,29,33,1.9,72.6,3.7,NULL,3,10/15/2024
WO-2024-163,CONV-005,Belt Conveyor,Warehouse - Zone C,Preventive,Low,7/18/2024,7/18/2024,TECH-003,2.1,"{""oil"": 1}",213.75,None,Scheduled maintenance,Routine maintenance completed successfully. All parameters within normal range.,14,33,0.7,NULL,2.6,NULL,5,10/18/2024
WO-2024-164,COMP-002,Air Compressor,Utility Room - East,Corrective,High,7/22/2024,7/22/2024,TECH-004,5.8,"{""valve"": 1, ""bearing"": 2}",814.3,Oil Contamination,Environmental conditions,Addressed oil contamination. Compressor showing signs of increased maintenance needs. Oil analysis recommended monthly.,51,34,2.6,NULL,4.8,159.7,2,10/22/2024
WO-2024-165,FAN-003,Exhaust Fan,Building A - Roof,Emergency,Critical,7/25/2024,7/25/2024,TECH-005,8.2,"{""bearing"": 3, ""belt"": 1}",981.7,Vibration,Operating stress,Addressed vibration. Fan showing accelerated wear patterns. Multiple bearing failures. Recommend replacement evaluation.,34,33,3.6,NULL,6.2,NULL,2,10/25/2024
WO-2024-166,PUMP-007,Gear Pump,Building C - Floor 3,Preventive,Low,7/28/2024,7/28/2024,TECH-001,1.4,"{""oil"": 1}",154.25,None,Scheduled maintenance,New equipment maintenance. All systems optimal. Performance exceeding baseline specifications.,2,33,0.4,70.8,1.5,175.2,5,10/28/2024
WO-2024-167,MOTOR-025,Servo Motor,Production Line 2,Preventive,Low,8/1/2024,8/1/2024,TECH-002,1.2,"{""oil"": 1}",137.25,None,Scheduled maintenance,New motor preventive service. All parameters excellent. Zero faults recorded since installation.,2,34,0.3,61.9,1.3,NULL,5,11/1/2024
WO-2024-168,VALVE-008,Control Valve,Process Room A,Emergency,Critical,8/5/2024,8/5/2024,TECH-003,8.7,"{""seal"": 3, ""gasket"": 2}",1080.95,Seal Leak,Operating stress,Addressed seal leak. Valve showing increased failure frequency. Age-related deterioration becoming apparent.,46,34,3.8,NULL,6,NULL,2,11/5/2024
WO-2024-169,HEAT-001,Heat Exchanger,Building B - Basement,Corrective,High,8/8/2024,8/8/2024,TECH-004,5.9,"{""gasket"": 2, ""tube"": 1}",596.15,Fouling,Environmental conditions,Addressed fouling. Heat exchanger fouling rate increasing. Water quality issues suspected. Chemical treatment recommended.,78,33,2.8,74.6,4.3,NULL,3,11/8/2024
